vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-07-12T21:58:29.000,2017-07-12T22:00:53.000,2,0.79,1,N,141,262,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2017-07-12T21:19:11.000,2017-07-12T21:28:45.000,1,5.10,1,N,265,265,2,16,0.5,0.5,0,0,0.3,17.3
1,2017-07-12T21:59:44.000,2017-07-12T22:31:15.000,1,19.50,2,N,132,140,1,52,0,0.5,12.25,8.5,0.3,73.55
2,2017-07-12T21:04:24.000,2017-07-12T21:32:09.000,1,7.19,1,N,79,151,1,25.5,0.5,0.5,2,0,0.3,28.8
2,2017-07-12T21:42:43.000,2017-07-12T21:48:45.000,1,0.79,1,N,48,48,1,6,0.5,0.5,1,0,0.3,8.3
2,2017-07-12T21:55:27.000,2017-07-12T21:59:29.000,1,0.48,1,N,230,161,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2017-07-12T21:16:35.000,2017-07-12T21:26:26.000,1,1.50,1,N,79,170,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,2017-07-12T21:30:21.000,2017-07-12T21:34:25.000,1,0.50,1,N,161,164,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2017-07-12T21:37:02.000,2017-07-12T21:47:55.000,1,1.40,1,N,234,249,1,8.5,0.5,0.5,1,0,0.3,10.8
1,2017-07-12T21:51:11.000,2017-07-12T22:19:12.000,1,4.50,1,N,158,255,1,21,0.5,0.5,2.8,0,0.3,25.1
1,2017-07-12T21:19:52.000,2017-07-12T21:23:20.000,1,0.40,1,N,107,113,2,4,0.5,0.5,0,0,0.3,5.3
1,2017-07-12T21:24:57.000,2017-07-12T21:33:15.000,1,0.70,1,N,113,79,1,7,0.5,0.5,0.83,0,0.3,9.13
1,2017-07-12T21:37:42.000,2017-07-12T21:42:40.000,1,0.80,1,N,79,79,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-07-12T21:56:05.000,2017-07-12T22:03:04.000,1,0.80,1,N,234,186,1,6,0.5,0.5,1,0,0.3,8.3
2,2017-07-12T21:01:08.000,2017-07-12T21:17:06.000,1,3.09,1,N,233,142,1,13.5,0.5,0.5,1,0,0.3,15.8
2,2017-07-12T21:22:56.000,2017-07-12T21:42:31.000,1,4.34,1,N,163,158,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,2017-07-12T21:43:46.000,2017-07-12T21:49:50.000,1,0.89,1,N,158,68,2,6,0.5,0.5,0,0,0.3,7.3
2,2017-07-12T21:50:58.000,2017-07-12T22:01:39.000,1,2.62,1,N,68,163,1,10,0.5,0.5,2.26,0,0.3,13.56
1,2017-07-12T21:01:38.000,2017-07-12T21:20:22.000,1,3.50,1,N,114,97,1,15,0.5,0.5,3.25,0,0.3,19.55
